,Emain0_w,Emain1_w,Emain1_b,Emain3_w,Emain4_w,Emain4_b,Emain6_w,Emain7_w,Emain7_b,Econv1_w,Econv1_b,Econv2_w,Econv2_b,Gmain0_w,Gmain1_w,Gmain1_b,Gmain3_w,Gmain4_w,Gmain4_b,Gmain6_w,Gmain7_w,Gmain7_b,Gmain9_w
cifar10,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
svhn,0.7760309999999999,0.753677,0.8396620000000001,0.826533,0.849319,0.8703519999999999,0.777145,0.8516429999999999,0.8680389999999999,0.8419810000000001,0.816708,0.767409,0.673625,0.7809225,0.847152,0.8227610000000002,0.83287,0.824286,0.8026679999999999,0.8080679999999999,0.848034,0.748972,0.834512
celeba,0.5258849999999999,0.663645,0.6243989999999999,0.6866125,0.658131,0.6122320000000001,0.7189970000000001,0.6715500000000001,0.646855,0.6985319999999999,0.6446829999999999,0.7547550000000001,0.7030855,0.7373069999999999,0.700244,0.6354679999999999,0.711623,0.66869,0.6560950000000001,0.69358,0.6659740000000001,0.6932130000000001,0.653503
lsun,0.5314409999999999,0.5290729999999999,0.5093234999999999,0.5425,0.522595,0.511048,0.553007,0.5365,0.537053,0.549025,0.557142,0.575767,0.594787,0.5945429999999999,0.556219,0.5545570000000001,0.584412,0.5491360000000001,0.5715509999999999,0.585812,0.527638,0.594117,0.482735
cifar100,0.52882,0.546237,0.532456,0.553851,0.545033,0.528235,0.539733,0.537812,0.529405,0.525189,0.507599,0.552398,0.548826,0.536305,0.5490090000000001,0.5402440000000001,0.563144,0.5610109999999999,0.558823,0.57287,0.545265,0.576148,0.510605
mnist,0.5774370000000001,0.9661540000000001,0.9621380000000002,0.996083,0.992799,0.9845430000000001,0.995603,0.9855160000000002,0.986981,0.994213,0.841297,0.9980709999999999,0.98535,0.988733,0.985994,0.966419,0.964798,0.9811739999999999,0.973291,0.987347,0.993522,0.988,0.975909
fmnist,0.68154,0.9377,0.9403980000000001,0.9864249999999999,0.9758669999999999,0.959836,0.938246,0.9617559999999999,0.963752,0.959648,0.8452089999999999,0.985166,0.964156,0.964006,0.9635450000000001,0.9276340000000001,0.95589,0.9634289999999999,0.9505859999999999,0.9764299999999999,0.98236,0.968106,0.9508379999999998
kmnist,0.620417,0.974037,0.9735169999999999,0.9969800000000001,0.9948990000000001,0.9868929999999999,0.992767,0.9854639999999999,0.988482,0.9868360000000002,0.8779520000000001,0.9969089999999999,0.989552,0.9952650000000001,0.992383,0.982983,0.969581,0.9905390000000001,0.9876870000000001,0.993036,0.9969380000000001,0.99407,0.981086
omniglot,0.991599,0.993441,0.990558,0.996088,0.99298,0.9866969999999999,0.93572,0.994158,0.966487,0.9893,0.9006319999999999,0.999148,0.997013,0.989416,0.996727,0.986236,0.9759080000000001,0.994136,0.991879,0.999674,0.982507,0.9963599999999999,0.977091
notmnist,0.793129,0.956725,0.9391209999999999,0.987958,0.9743350000000001,0.9375749999999999,0.9893679999999999,0.9562830000000001,0.9267510000000001,0.97647,0.862105,0.9945350000000001,0.976934,0.991747,0.9756339999999999,0.9354669999999999,0.967295,0.963817,0.9534920000000001,0.9830145000000001,0.9739460000000001,0.969049,0.9351480000000001
trafficsign,0.41385000000000005,0.68157,0.665508,0.706156,0.703568,0.6628700000000001,0.658054,0.667066,0.6456679999999999,0.5916520000000001,0.522288,0.604699,0.490374,0.47403599999999996,0.689515,0.596934,0.715178,0.68114,0.6089870000000001,0.752977,0.713795,0.6858839999999999,0.7833439999999999
noise,0.797791,0.916886,0.7204649999999998,0.9595060000000001,0.9200839999999999,0.935794,0.8020780000000001,0.8753860000000001,0.9703970000000001,0.680434,0.9123120000000001,0.824818,0.990011,0.056893,0.8720420000000001,0.9799049999999999,0.9398620000000001,0.968448,0.997837,0.9723949999999999,0.794238,1.0,0.007366000000000003
constant,0.9992179999999999,0.999003,0.9997800000000001,0.999625,0.9997199999999999,0.999872,0.874325,0.999721,0.999862,0.997188,0.998923,0.997289,0.995542,0.9789599999999999,0.9994959999999999,0.9995990000000001,0.983222,0.999445,0.999263,0.999277,0.999849,0.999081,0.9943919999999999
